COMPONENTE,PROGRAMA,"CODIGO
CUPS ACTUALES ","CODIGO
CUPS NUEVOS ",ACTIVIDAD,FINALIDAD,DIAGNOSTICOS ,DESCRIPCIÓN FRECUENCIA,POBLACIÓN GRUPO ETAREO
DETECCION TEMPRANA,CANCER DEL CUELLO UTERINO,892901,892901,TOMA DE CITOLOGIA CERVICO UTERINA,12,"Z124 PARA CICTOLOGIA NORMAL, R876 HALLAZGOS ANORMALES","MENORES DE 25 AÑOS SEGUN REPORTE BETHESDA 2014 NOTA: MUJERES MENORES DE 25 AÑOS SE REALIZARA CITOLOGIA SEGUN FACTOR DE RIESGO (EDAD DE INCIO DE RELACIONES SEXUALES EN MENORES DE 15 AÑOS, MULTIPARIDAD MAS DE 3 O MAS HIJOS Y MULTIPLES COMPAÑEROS SEXUALES)",MENORES DE 25 AÑOS
DETECCION TEMPRANA,CANCER DE COLON,907009.907,907009,TOMA SANGRE OCULTA EN MATERIA FECAL,12,Z120,APARTIR DE LOS 50 AÑOS CADA 2 AÑOS, 50 A 75 AÑOS 
PROTECCION ESPECIFICA,PLANIFICACION FAMILIAR MUJERES,890201.8903,890201.8903,CONSULTA DE PLANIFICACIÓN FAMILIAR POR MEDICINA GENERAL,19,"Z300, Z304, Z305,Z308, Z309",TODAS LAS MUJERES EN EDAD FERTIL (COMPRENDIDAS ENTRE 14 A 49) SOLO UNA VEZ (1 primera vez y 1 control), MUJERES 14 A 49 AÑOS 
PROTECCION ESPECIFICA,PLANIFICACION FAMILIAR MUJERES,890205.8903,890205.8903,CONSULTA DE PLANIFICACIÓN FAMILIAR  POR  ENFERMERIA),19,,, MUJERES 14 A 49 AÑOS 
PROTECCION ESPECIFICA,PLANIFICACION FAMILIAR MUJERES,861801,861801,INSERCIÓN IMPLANTE  SUBDERMICO,14,Z301,TODAS LAS MUJERES EN EDAD FERTIL (COMPRENDIDAS ENTRE 10 A 49) SOLO UNA VEZ, MUJERES 14 A 49 AÑOS 
PROTECCION ESPECIFICA,PLANIFICACION FAMILIAR MUJERES,697100,697101,INSERCION DEL DISPOSITIVO INTRAUTERINO,14,Z301,TODAS LAS MUJERES EN EDAD FERTIL (COMPRENDIDAS ENTRE 10 A 59) SOLO UNA VEZ, MUJERES 14 A 49 AÑOS 
PROTECCION ESPECIFICA,PLANIFICACION FAMILIAR MUJERES,861203,861203,RETIRO IMPLANTE  SUBDERMICO,14,Z305,TODAS LAS MUJERES EN EDAD FERTIL (COMPRENDIDAS ENTRE 10 A 49) SOLO UNA VEZ, MUJERES 14 A 49 AÑOS 
PROTECCION ESPECIFICA,PLANIFICACION FAMILIAR MUJERES,977100,977101,RETIRO DEL DISPOSITIVO INTRAUTERINO,14,Z305,TODAS LAS MUJERES EN EDAD FERTIL (COMPRENDIDAS ENTRE 10 A 49) SOLO UNA VEZ, MUJERES 14 A 49 AÑOS 
PROTECCION ESPECIFICA,PLANIFICACION FAMILIAR HOMBRES,890201.8903,890201.8903,CONSULTA DE PLANIFICACIÓN FAMILIAR POR MEDICINA GENERAL,19,"Z300, Z308, Z309",TODOS LOS HOMBRES EN EDAD FERTIL (COMPRENDIDOS ENTRE 15 A  69) SOLO UNA VEZ (1 promera vez y 1 control), HOMBRES DE 14 EN ADELANTE 
,,890205.8903,890205.8903,CONSULTA DE PLANIFICACIÓN FAMILIAR  POR  ENFERMERIA,19,"Z300, Z308, Z309",TODOS LOS HOMBRES EN EDAD FERTIL (COMPRENDIDOS ENTRE 15 A  69) SOLO UNA VEZ (1 promera vez y 1 control), HOMBRES DE 14 EN ADELANTE 
