CodigoCUPS,DescripcionCUPS,Grupo,Ruta
903895,CREATININA EN SUERO U OTROS FLUIDOS(33474),LABORATORIO,MULTIRUTA
904508,GONADOTROPINA CORIONICA. SUBUNIDAD BETA CUALITATIVA. [BHCG] PRUEBA DE EMBARAZO EN ORINA O SUERO +(6125),LABORATORIO,MULTIRUTA
906039,TREPONEMA PALLIDUM ANTICUERPOS (PRUEBA TREPONEMICA) MANUAL O SEMIAUTOMATIZADA O AUTOMATIZADA(6354),LABORATORIO,MULTIRUTA
906249,VIRUS DE INMUNODEFICIENCIA HUMANA 1 Y 2 ANTICUERPOS(6432),LABORATORIO,MULTIRUTA
906915,PRUEBA NO TREPONEMICA MANUAL(6651),LABORATORIO,MATERNO PERINATAL
907002,COPROLOGICO +(6654),LABORATORIO,MORBILIDAD
907004,COPROSCOPICO +(6656),LABORATORIO,MORBILIDAD
907008,SANGRE OCULTA EN MATERIA FECAL [GUAYACO O EQUIVALENTE] +(6660),LABORATORIO,MORBILIDAD
907106,UROANALISIS(6671),LABORATORIO,MULTIRUTA
911015,HEMOCLASIFICACION SISTEMA RH [ANTIGENO RH D] POR MICROTECNICA(9682),LABORATORIO,MATERNO PERINATAL
911016,HEMOCLASIFICACION SISTEMA RH [ANTIGENO RH D] EN TUBO(9683),LABORATORIO,MATERNO PERINATAL
933700,ENTRENAMIENTO PRE, PERI Y POST PARTO SOD(9936),PROMOCION Y MANTENIMIENTO DE LA SALUD,MORBILIDAD
961601,INSERCION DE CATETER (SONDA) EN URETRA(10111),PROCEDIMIENTOS,MORBILIDAD
976501,EXTRACCIËN DE DISPOSITIVO URETRAL(43095),PROCEDIMIENTOS,MORBILIDAD
977100,EXTRACCION DE DISPOSITIVO ANTICONCEPTIVO INTRAUTERINO (DIU) SOD(10945),PROMOCION Y MANTENIMIENTO DE LA SALUD,PYMS
990101,EDUCACION GRUPAL EN SALUD. POR MEDICINA GENERAL(10991),PROMOCION Y MANTENIMIENTO DE LA SALUD,MULTIRUTA
990103,EDUCACION GRUPAL EN SALUD. POR ODONTOLOGIA(10994),PROMOCION Y MANTENIMIENTO DE LA SALUD,PYMS
